Député·e,Groupe,Circo,Source,Rôle,Date,Référence,Thèmes,Extrait
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-23,AMANR5L17PO59048B0324P2D1N000503,Réglementation & projets,"Par cet amendement, le groupe LFI-NFP souhaite établir un bilan précis du nombre d'ouvertures de structures sous le statut d'annexes par des établissements privés sous contrat afin d'en analyser les potentielles conséquences néfastes, notamment sur la question du renforcement de la ségrégation socio"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-24,AMANR5L17PO59048B0324P2D1N000997,Réglementation & projets,"Par cet amendement d’appel, les parlementaires du groupe LFI-NFP proposent de créer un programme police judiciaire au sein de la mission « Justice ».Proposition constante du programme de l’Avenir en commun, cet amendement propose le rattachement de la police judiciaire à la Justice, notamment afin d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-24,AMANR5L17PO59048B0324P2D1N000786,Réglementation & projets,"Par cet amendement, le groupe LFI-NFP souhaite augmenter considérablement la qualité des services consulaires offerts aux français de l’Etranger, en créant 100 ETPT dédiés aux affaires consulaires dans les postes diplomatiques.Les moyens humains déployés dans les ambassades et les postes consulaires"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-24,AMANR5L17PO419604B0324P2D1N000341,Réglementation & projets,"Par cet amendement, le groupe LFI-NFP souhaite établir un bilan précis du nombre d’ouvertures de structures sous le statut d’annexes par des établissements privés sous contrat afin d’en analyser les potentielles conséquences néfastes, notamment sur la question du renforcement de la ségrégation socio"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-25,AMANR5L17PO59046B0324P2D1N000079,Réglementation & projets,"Par cet amendement d'appel, les députés du groupe de la France insoumise - NFP souhaitent garantir l'existence effective des satellites de communication nécessaires à nos armées.Les satellites de télécommunications militaires de nouvelles génération sont devenus indispensables, au vu de l'évolution "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-29,AMANR5L17PO59048B0324P2D1N002250,Réglementation & projets,"Par cet amendement d'appel, les députés du groupe de la France insoumise - NFP souhaitent garantir l'existence effective des satellites de communication nécessaires à nos armées.Les satellites de télécommunications militaires de nouvelles génération sont devenus indispensables, au vu de l'évolution "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-31,AMANR5L17PO59051B0324P2D1N000394,Réglementation & projets,"Par cet amendement d’appel, les parlementaires du groupe LFI-NFP proposent de créer un programme police judiciaire au sein de la mission « Justice ».Proposition constante du programme de l’Avenir en commun, cet amendement propose le rattachement de la police judiciaire à la Justice, notamment afin d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-05,AMANR5L17PO838901B0324P2D1N001923,Réglementation & projets,"Par cet amendement, le groupe LFI-NFP souhaite établir un bilan précis du nombre d’ouvertures de structures sous le statut d’annexes par des établissements privés sous contrat afin d’en analyser les potentielles conséquences néfastes, notamment sur la question du renforcement de la ségrégation socio"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-06,AMANR5L17PO838901B0324P2D1N002003,Infrastructure éolienne,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP proposent de créer un fonds pour la souveraineté dans le pilotage de la transition énergétique. Les moyens alloués à ce fonds devront permettre l’entrée de l’Etat au capital de TotalEnergies et General Electrics, ainsi que l’augmenta"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-06,AMANR5L17PO838901B0324P2D1N002029,Réglementation & projets,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP souhaitent augmenter les effectifs des inspecteurs des installations classées pour protection de l'environnement.Les services d’inspection des ICPE connaissent un manque structurel de moyens humains pour assurer leurs missions de con"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-06,AMANR5L17PO838901B0324P2D1N002291,Réglementation & projets,"Cet amendement vise à augmenter considérablement la qualité des services consulaires offerts aux français de l’étranger, en créant 100 équivalents temps pleines travaillés (ETPT) dédiés aux affaires consulaires dans les postes diplomatiques.Les moyens humains déployés dans les ambassades et les post"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-06,AMANR5L17PO838901B0324P2D1N001992,Réglementation & projets,"Par cet amendement d'appel, les député.es LFI-NFP dénoncer les grands projets autoroutiers défendus par le Gouvernement. Ces grands projets vont à l'encontre de l'urgence écologique.La construction de l’autoroute A69 Toulouse – Castres est un exemple symptomatique de ces grands projets autoroutiers "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-07,AMANR5L17PO838901B0324P2D1N002807,Réglementation & projets,"Par cet amendement, le groupe LFI-NFP souhaite augmenter considérablement la qualité des services consulaires offerts aux français de l’Etranger, en créant 100 ETPT dédiés aux affaires consulaires dans les postes diplomatiques.Les moyens humains déployés dans les ambassades et les postes consulaires"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-07,AMANR5L17PO838901B0324P2D1N002762,Réglementation & projets,"Cet amendement vise à établir un bilan précis du nombre d’ouvertures de structures sous le statut d’annexes par des établissements privés sous contrat afin d’en analyser les potentielles conséquences néfastes, notamment sur la question du renforcement de la ségrégation socio-scolaire.L’ouverture d’u"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-07,AMANR5L17PO838901B0324P2D1N002851,Réglementation & projets,"Par cet amendement d’appel, les parlementaires du groupe LFI-NFP proposent de créer un programme police judiciaire au sein de la mission « Justice ».Proposition constante du programme de l’Avenir en commun, cet amendement propose le rattachement de la police judiciaire à la Justice, notamment afin d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-11-08,AMANR5L17PO838901B0324P2D1N003038,Réglementation & projets,"Par cet amendement d'appel, les députés du groupe de la France insoumise - NFP souhaitent garantir l'existence effective des satellites de communication nécessaires à nos armées.Les satellites de télécommunications militaires de nouvelles génération sont devenus indispensables, au vu de l'évolution "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-02-21,AMANR5L17PO59051B0907P0D1N000074,Réglementation & projets,"Par cet amendement, les député·es du groupe LFI-NFP souhaitent supprimer la disposition permettant aux agents des douanes de recourir aux techniques spéciales d'enquêtes permettant l'activation à distance des objets électroniques.L’activation à distance des appareils connectés est particulièrement a"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-02-21,AMANR5L17PO59051B0907P0D1N000052,Réglementation & projets,"Par cet amendement, les députés du groupe LFI-NFP visent à supprimer l'article qui prévoit de mettre en œuvre l'activation des objets ""fixes"" afin de capter le son et les images au sein des lieux privés, comme les appareils embarqués au sein des véhicules ou des objets de domotique.L'activation à di"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-03-14,AMANR5L17PO838901BTC1043P0D1N000505,Réglementation & projets,"Par cet amendement, les députés du groupe LFI-NFP souhaitent supprimer la disposition permettant aux agents des douanes de recourir aux techniques spéciales d'enquêtes permettant l'activation à distance des objets électroniques.L’activation à distance des appareils connectés est particulièrement att"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-03-20,AMANR5L17PO849474B0481P0D1N000648,Réglementation & projets,"Cet amendement du groupe LFI-NFP vise à la suppression de l'article 21 bis introduit par le Sénat.En effet, l'article 21 bis prévoit la mise en place d'un fonds de garantie pour les exploitants d'une installation de production de biogaz, qui serait destiné à compenser une partie des pertes financièr"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-04-04,AMANR5L17PO838901BTC1191P0D1N002295,Réglementation & projets,"Cet amendement du groupe LFI-NFP vise à la suppression de l'article 15 bis C.En effet, celui-ci prévoit que pour les projets qualifiés d’intérêt national majeur pour la souveraineté nationale ou la transition écologique, la demande d’autorisation environnementale ne donne pas lieu à la réalisation d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-04-04,AMANR5L17PO838901BTC1191P0D1N002302,Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à renforcer le caractère démocratique des choix de politique énergétique, en garantissant au Parlement de légiférer régulièrement, tous les cins ans, sur la planification énergétique.En effet, le présent article supprime les instruments de planification"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-04-04,AMANR5L17PO838901BTC1191P0D1N002312,Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à sauvegarder la programmation pluriannuelle de l'énergie (PPE), instrument de planification énergétique fixée par décret, que le présent article entend supprimer.La programmation pluriannuelle de l'énergie, fixée par décret, définit en effet les modali"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-04-04,AMANR5L17PO838901BTC1191P0D1N002006,Politique énergétique,Cet amendement du groupe LFI-NFP vise à la suppression de l'article 21 quater introduit en commission à l'Assemblée nationale. Celui-ci prévoit en effet des régressions majeures en matière de politique et de planification énergétique.Il supprime en effet les instruments de planification énergétique 
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-04-04,AMANR5L17PO838901BTC1191P0D1N002305,Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à réintégrer, à la nouvelle loi de programmation pluriannuelle de l'énergie prévue au présent article, les instruments de planification énergétique qui sont censés figurer dans la loi de programmation énergie-climat (LPEC) que le gouvernement aurait du "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-23,AMANR5L17PO419865B0463P0D1N000022,Politique énergétique,Cet amendement d'appel du groupe LFI-NFP vise à interpeller sur la nécessité pour l'Etat de se donner les moyens nécessaires au déploiement rapide des énergies renouvelables dans des conditions qui garantissent la protection de l'environnement.Les articles 22 quater et 22 quinquies prévoient en effe
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-23,AMANR5L17PO419865B0463P0D1N000023,Politique énergétique,Cet amendement d'appel du groupe LFI-NFP vise à interpeller sur la nécessité pour l'Etat de se donner les moyens nécessaires au déploiement rapide des énergies renouvelables dans des conditions qui garantissent la protection de l'environnement.Les articles 22 quater et 22 quinquies prévoient en effe
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000404,Réglementation & projets | Infrastructure éolienne,"Cet amendement de repli du groupe LFI-NFP vise à modifier les termes de la demande de rapport prévue à l'article 25 D concernant les projets éoliens en mer, pour en supprimer des aspects inutiles et y intégrer une étude des créations d’emplois directs et indirects qu'ils induisent et des recettes fi"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000310,Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à fixer l'objectif d'atteindre une capacité installée d'au moins 54 gigawatts (GW) de production d’électricité d’origine photovoltaïque à l'horizon 2030. Il relève ainsi de 4 gigawatts l’objectif actuellement fixé à l'article 5, pour atteindre au moins "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000319,Réglementation & projets | Infrastructure éolienne | Politique énergétique,Cet amendement du groupe LFI-NFP vise à augmenter la capacité installée de production d’électricité issues d’installation d’éoliennes en mer avec pour objectif d’atteindre au moins 18 gigawatts en 2035.L’absence de loi de programmation énergie-climat et de décret relatif à la programmation pluriannu
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000355,Réglementation & projets | Infrastructure éolienne,"Cet amendement du groupe LFI-NFP vise à supprimer la demande de rapport prévue à l'article 25 D.En effet, la place de l’éolien en mer dans le mix électrique français, que cette demande de rapport vise à examiner, a déjà fait l’objet de nombreuses études et rapport depuis plusieurs années. Tous confi"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000409,Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP demande la remise d'un rapport évaluant le potentiel des énergies osmotique, houlomotrice et thermique des mers.De par sa maturité technologique, ses taux de charges avantageux couplés à des puissances développées importantes et en hausse, l’éolien en mer est l’énerg"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000205,Politique énergétique,"Cet amendement du groupe LFI-NFP vise à la suppression de l’alinéa 4 de l’article 13.En effet, cet alinéa prévoit que, pour l’électricité d’origine nucléaire, la programmation pluriannuelle de l’énergie (PPE) précise les modalités de mise en œuvre des objectifs fixés aux articles 12 et 3 de la prése"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000207,Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à la suppression de l’alinéa 8 de l’article 13.En effet, celui-ci prévoit que la présentation de la programmation pluriannuelle de l’énergie (PPE) au Parlement, une fois approuvée, expose la politique du Gouvernement en faveur de l’énergie nucléaire et "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000202,Politique énergétique,"Cet amendement du groupe LFI-NFP vise à la suppression de l'article 13, qui modifie les dispositions qui régissent la programmation pluriannuelle de l'énergie (PPE, fixée par décret), en particulier en vue d'y conforter la place du nucléaire.En effet, cet article y ajoute que, pour l’électricité d’o"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000340,Politique énergétique,"Cet amendement du groupe LFI-NFP vise à fixer l'objectif d'atteindre une capacité installée de 250 mégawatts d’ici 2030 et d’au moins 5 gigawatts en 2050 d'électricité issue de l'hydrolien.L’hydrolien produit de l’électricité grâce aux courants de marée, parfaitement connus des années à l’avance. Ce"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000327,Réglementation & projets | Infrastructure éolienne | Politique énergétique,Cet amendement du groupe LFI-NFP vise à introduire la possibilité de lancer des appels d’offres pour les projets éoliens en mer au-delà des capacités installées prévues par la PPE en cours.L’absence de loi de programmation énergie-climat et de décret relatif à la programmation pluriannuelle de l’éne
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000344,Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP vise à soutenir le développement des énergies renouvelables et à donner de la visibilité à la filière éolienne terrestre. Il prévoit ainsi de fixer l'objectif de favoriser le développement des capacités de production d’électricité à partir d'éoliennes terrestres, en "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000412,Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP demande la remise d'un rapport évaluant l'opportunité de lancer des appels à projets de France 2030 portant sur le développement de l’énergie osmotique, de l’énergie houlomotrice et de l’énergie thermique des mers.De par sa maturité technologique, ses taux de charges"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000204,Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à la suppression de l’alinéa 2 de l’article 13.En effet, celui-ci prévoit que la synthèse pédagogique accessible au public de la programmation pluriannuelle de l’énergie (PPE) expose la politique du Gouvernement en faveur de l’énergie nucléaire et de l’"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-05-28,AMANR5L17PO419610B0463P0D1N000330,Politique énergétique,"Cet amendement du groupe LFI-NFP vise à fixer l'objectif d'atteindre au moins 1 gigawatt de capacité installée de production d'électricité issue de l'hydrolien d'ici à 2030.L’hydrolien produit de l’électricité grâce aux courants de marée, parfaitement connus des années à l’avance. Cette production d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-03,AMANR5L17PO419610B0463P0D1N000627,Politique énergétique,"Ce sous-amendement de repli du groupe LFI-NFP vise à fixer l’objectif d’atteindre une capacité installée d’au moins 54 gigawatts (GW) de production d’électricité d’origine photovoltaïque à l’horizon 2030. Il relève ainsi de 4 gigawatts l’objectif actuellement fixé à l’article 5, pour atteindre au mo"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-03,AMANR5L17PO419610B0463P0D1N000622,Réglementation & projets | Infrastructure éolienne | Politique énergétique,Ce sous-amendement du groupe LFI-NFP vise à augmenter la capacité installée de production d’électricité issues d’installation d’éoliennes en mer avec pour objectif d’atteindre au moins 18 gigawatts en 2035.L’absence de loi de programmation énergie-climat et de décret relatif à la programmation pluri
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-03,AMANR5L17PO419610B0463P0D1N000623,Politique énergétique,"Ce sous-amendement du groupe LFI-NFP vise à fixer l’objectif d’atteindre une capacité installée de 250 mégawatts d’ici 2030 et d’au moins 5 gigawatts en 2050 d’électricité issue de l’hydrolien.L’hydrolien produit de l’électricité grâce aux courants de marée, parfaitement connus des années à l’avance"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-03,AMANR5L17PO419610B0463P0D1N000629,Politique énergétique,"Cet amendement du groupe LFI-NFP vise à fixer l’objectif d’atteindre au moins 1 gigawatt de capacité installée de production d’électricité issue de l’hydrolien d’ici à 2030.L’hydrolien produit de l’électricité grâce aux courants de marée, parfaitement connus des années à l’avance. Cette production d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-03,AMANR5L17PO419610B0463P0D1N000628,Infrastructure éolienne | Politique énergétique,"Ce sous-amendement du groupe LFI-NFP vise à soutenir le développement des énergies renouvelables et à donner de la visibilité à la filière éolienne terrestre. Il prévoit ainsi de fixer l’objectif de favoriser le développement des capacités de production d’électricité à partir d’éoliennes terrestres,"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000275,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP prévoit d'inscrire dans la loi les objectifs de développement des capacités installée de production d'électricité photovoltaïque prévus pour 2030 et 2035 par le projet de décret sur la programmation pluriannuelle de l'énergie (PPE), actuellement en consultation, en v"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000331,Politique énergétique,"Cet amendement du groupe LFI-NFP vise à fixer l'objectif d'atteindre une capacité installée de 250 mégawatts d’ici 2030 et d’au moins 5 gigawatts en 2050 d'électricité issue de l'hydrolien.L’hydrolien produit de l’électricité grâce aux courants de marée, parfaitement connus des années à l’avance. Ce"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000264,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement de repli du groupe LFI-NFP propose une réécriture générale de l'article 5, qui vise à permettre de fixer une trajectoire de développement des énergies renouvelables permettant de sortir du nucléaire et de viser l'objectif de 100% d'énergies renouvelables en 2060, en s'appuyant notamme"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000298,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à permettre de fixer une trajectoire de développement de l'éolien terrestre permettant de sortir du nucléaire et de viser l'objectif de 100% d'énergies renouvelables en 2060, en s'appuyant notamment sur le scénario M1 de RTE.Depuis la révision de la Str"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000272,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP vise à garantir l'existence d'un objectif global de production d'énergies renouvelables à horizon 2030, que ne prévoit pas la rédaction actuelle de l'article 5. Il prévoit ainsi de fixer l'objectif que la production globale d'énergies renouvelables soit au moins de 2"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000317,Réglementation & projets | Infrastructure éolienne | Politique énergétique,Cet amendement du groupe LFI-NFP vise à fixer l'objectif d'atteindre une capacité installée de production d'électricité photovoltaïque d'au moins 75 gigawatts en 2035.Cet objectif se situe dans la fourchette des objectifs envisagés par le projet de décret sur la programmation pluriannuelle de l'éner
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000277,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP prévoit d'inscrire dans la loi les objectifs de développement des capacités installée de production d'électricité photovoltaïque prévus pour 2030 et 2035 par le projet de décret sur la programmation pluriannuelle de l'énergie (PPE), actuellement en consultation, en v"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000269,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement du groupe LFI-NFP prévoit d'inscrire dans la loi les objectifs de développement des capacités installée de production d'électricité issue de l'éolien terrestre prévus pour 2030 et 2035 par le projet de décret sur la programmation pluriannuelle de l'énergie (PPE), actuellement en consu"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000303,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement de repli du groupe LFI-NFP vise à permettre de fixer une trajectoire de développement de l'éolien en mer permettant de sortir du nucléaire et de viser l'objectif de 100% d'énergies renouvelables en 2060, en s'appuyant notamment sur le scénario M23 de RTE.Depuis la révision de la Strat"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2025-06-12,AMANR5L17PO838901BTC1522P0D1N000256,Réglementation & projets | Infrastructure éolienne | Politique énergétique,"Cet amendement de repli du groupe LFI-NFP propose une réécriture générale de l'article 5 qui prévoit d'inscrire dans la loi les objectifs de développement des énergies renouvelables prévus par le projet de décret sur la programmation pluriannuelle de l'énergie (PPE), actuellement en consultation, en"
